meanfreq,sd,median,Q25,Q75,IQR,skew,dfrange,mindom,maxdom,output
-547.615554,14.6920764,4.22240598,23.03630522,12.36667959,-10.07201216,2.858927577,3.894812128,-3.014757591,3.643177405,1
-445.448474,16.7746164,0.46453198,-18.36004978,12.82438289,-9.163843541,5.483194577,-8.440989672,4.791554109,0.547716405,1
-530.169294,9.632296396,-23.37415002,-8.736306777,-10.09944811,-2.433340241,-6.961829423,3.348745728,-5.732540591,1.850110705,1
-567.003354,9.923576396,39.65303198,-8.763943777,27.55137689,-7.231745741,22.58021808,-3.617488372,3.395378409,-11.60374299,1
-514.405104,7.116216396,-19.86878402,-13.92685278,-0.544053109,-18.26359074,-6.139739423,-10.25430367,-13.75777159,-0.508303995,1
-605.118854,18.1550764,-22.52058702,0.114216223,-5.909685109,-3.122159741,4.905381577,-4.136903272,-11.66023759,1.942843805,1
-558.560354,-26.2218586,8.05297798,32.13753222,9.448468391,22.83790826,1.715110577,14.47844233,-2.277665591,-1.145420295,1
-552.528124,-24.8827936,-12.46020002,-0.717643777,2.707950891,-9.205341941,-3.657622423,2.948451528,-9.711760591,9.341702705,1
-541.123954,7.274756396,47.62373698,-10.58565478,0.877996891,6.788371259,8.471407577,-7.451432672,4.318501609,-2.270146995,1
-347.2056,16.3162864,-7.38140702,11.84578022,0.519183891,11.52254726,-8.638955423,0.800980128,-12.34983859,0.896733305,1
-525.613334,-5.471353604,5.13257998,-1.805307777,-8.572944109,10.71742326,-9.705672423,1.306953688,4.305901409,-16.54149299,1
-585.441304,16.5322564,-1.54622002,-3.057677777,4.655984891,-20.82414474,15.73678958,-11.72846967,10.59863661,9.925809005,1
-645.164554,-16.0248836,31.19382698,-22.89811678,10.04133859,7.292471259,-0.457088423,12.82807233,9.321259409,-1.249727995,1
-505.723804,12.3077264,-34.74697702,-19.87040078,-15.96407111,4.329768259,-12.08490942,-8.019637672,-8.380268591,-6.031469995,1
-522.234724,6.923256396,22.74374768,-3.862872777,2.125505891,2.842450259,2.595365577,11.26267383,7.555393409,13.26006101,1
-389.294714,14.0637564,-8.62858002,5.480118223,-0.730575109,-0.422113741,-12.62575342,-2.785081372,-8.219841591,5.059508605,1
-550.125994,37.3698664,3.66017098,7.301834223,9.255172391,-2.105289741,6.941620577,14.41042183,2.407913409,1.891511305,1
-555.108954,-21.7191436,-4.26073502,-23.66202178,-12.07615211,-18.78689374,-7.313663423,-5.188369272,-7.369368591,-12.34824699,1
-682.197104,14.3032064,34.91814598,-1.588467777,9.866230191,5.398310259,3.194576577,-1.305755672,10.49024401,2.367458205,1
-357.423054,-33.5868836,0.27322098,28.41876222,-5.695562109,25.08103526,-17.51276542,5.510707328,-0.590838591,-2.238675995,1
-616.192214,-3.984923604,-8.84354002,10.94268822,-5.960168109,-9.043954341,0.671066577,3.111374228,-1.896172591,1.887964105,1
-546.160484,13.0757964,-14.35225002,1.533669223,2.793414891,18.22184026,-5.695804423,16.59421533,13.41603581,-6.186715995,1
-517.567674,-1.066703604,11.04639798,-3.034243777,-5.819945109,13.36056826,-3.974040423,5.587075328,-5.343428591,-2.532941995,1
-591.324354,22.0360564,23.04055878,-33.96676738,22.05993089,-8.071931441,4.292251577,-6.318568272,7.475146009,-1.874809495,1
-400.097294,16.1855764,-33.27476402,15.24572422,-8.300430109,-21.52880774,16.83372938,-27.34910567,16.09183611,-17.22632899,1
-521.429094,22.3384564,11.40559898,9.949227223,7.288930891,10.03012726,-2.732528423,4.167688128,5.337919409,-4.822480395,1
